Batch_ID,Level1,Level2,Samples,Samples_ID,Replicates_ID,Replicates,Concentrations_ID,Date,Run date,Concentrations
exp010821,Controls,Control,Control,Contro,Contro1_000u_exp010821_run180821_03,4,000u,2021-08-01,2021-08-18,0
exp010821,Controls,Control,Control,Contro,Contro2_000u_exp010821_run180821_04,4,000u,2021-08-01,2021-08-18,0
exp010821,Controls,Control,Control,Contro,Contro3_000u_exp010821_run180821_05,4,000u,2021-08-01,2021-08-18,0
exp010821,Controls,Control,Control,Contro,Contro4_000u_exp010821_run180821_06,4,000u,2021-08-01,2021-08-18,0
exp040821,Controls,Control,Control,Contro,Contro1_000u_exp040821_run180821_25,4,000u,2021-08-04,2021-08-18,0
exp040821,Controls,Control,Control,Contro,Contro2_000u_exp040821_run180821_26,4,000u,2021-08-04,2021-08-18,0
exp040821,Controls,Control,Control,Contro,Contro3_000u_exp040821_run180821_27,4,000u,2021-08-04,2021-08-18,0
exp040821,Controls,Control,Control,Contro,Contro4_000u_exp040821_run180821_28,4,000u,2021-08-04,2021-08-18,0
exp300821,Controls,Control,Control,Contro,Contro1_000u_exp300821_run290921_01,4,000u,2021-08-30,2021-09-29,0
exp300821,Controls,Control,Control,Contro,Contro2_000u_exp300821_run290921_02,4,000u,2021-08-30,2021-09-29,0
exp300821,Controls,Control,Control,Contro,Contro3_000u_exp300821_run290921_03,4,000u,2021-08-30,2021-09-29,0
exp300821,Controls,Control,Control,Contro,Contro4_000u_exp300821_run290921_04,4,000u,2021-08-30,2021-09-29,0
exp130921,Controls,Control,Control,Contro,Contro1_000u_exp130921_run290921_32,4,000u,2021-09-13,2021-09-29,0
exp130921,Controls,Control,Control,Contro,Contro2_000u_exp130921_run290921_33,4,000u,2021-09-13,2021-09-29,0
exp130921,Controls,Control,Control,Contro,Contro3_000u_exp130921_run290921_34,4,000u,2021-09-13,2021-09-29,0
exp130921,Controls,Control,Control,Contro,Contro4_000u_exp130921_run290921_35,4,000u,2021-09-13,2021-09-29,0
exp200921,Controls,Control,Control,Contro,Contro1_000u_exp200921_run111021_09,4,000u,2021-09-20,2021-10-11,0
exp200921,Controls,Control,Control,Contro,Contro2_000u_exp200921_run111021_10,4,000u,2021-09-20,2021-10-11,0
exp200921,Controls,Control,Control,Contro,Contro3_000u_exp200921_run111021_11,4,000u,2021-09-20,2021-10-11,0
exp200921,Controls,Control,Control,Contro,Contro4_000u_exp200921_run111021_12,4,000u,2021-09-20,2021-10-11,0
exp181021,Controls,Control,Control,Contro,Contro1_000u_exp181021_run101121_38,4,000u,2021-10-18,2021-11-10,0
exp181021,Controls,Control,Control,Contro,Contro2_000u_exp181021_run101121_39,4,000u,2021-10-18,2021-11-10,0
exp181021,Controls,Control,Control,Contro,Contro3_000u_exp181021_run101121_40,4,000u,2021-10-18,2021-11-10,0
exp181021,Controls,Control,Control,Contro,Contro4_000u_exp181021_run101121_41,4,000u,2021-10-18,2021-11-10,0
exp151121,Controls,Control,Control,Contro,Contro1_000u_exp151121_run071221_01,4,000u,2021-11-15,2021-12-07,0
exp151121,Controls,Control,Control,Contro,Contro2_000u_exp151121_run071221_02,4,000u,2021-11-15,2021-12-07,0
exp151121,Controls,Control,Control,Contro,Contro3_000u_exp151121_run071221_03,4,000u,2021-11-15,2021-12-07,0
exp151121,Controls,Control,Control,Contro,Contro4_000u_exp151121_run071221_04,4,000u,2021-11-15,2021-12-07,0
exp271221,Controls,Control,Control,Contro,Contro1_000u_exp271221_run180122_17,4,000u,2021-12-27,2022-01-18,0
exp271221,Controls,Control,Control,Contro,Contro2_000u_exp271221_run180122_18,4,000u,2021-12-27,2022-01-18,0
exp271221,Controls,Control,Control,Contro,Contro3_000u_exp271221_run180122_19,4,000u,2021-12-27,2022-01-18,0
exp271221,Controls,Control,Control,Contro,Contro4_000u_exp271221_run180122_20,4,000u,2021-12-27,2022-01-18,0
exp070222,Controls,Control,Control,Contro,Contro1_000u_exp070222_run010322_01,4,000u,2022-02-07,2022-03-01,0
exp070222,Controls,Control,Control,Contro,Contro2_000u_exp070222_run010322_02,4,000u,2022-02-07,2022-03-01,0
exp070222,Controls,Control,Control,Contro,Contro3_000u_exp070222_run010322_03,4,000u,2022-02-07,2022-03-01,0
exp070222,Controls,Control,Control,Contro,Contro4_000u_exp070222_run010322_04,4,000u,2022-02-07,2022-03-01,0
exp220322,Controls,Control,Control,Contro,Contro1_000u_exp220322_run060522_25,4,000u,2022-03-22,2022-05-06,0
exp220322,Controls,Control,Control,Contro,Contro2_000u_exp220322_run060522_26,4,000u,2022-03-22,2022-05-06,0
exp220322,Controls,Control,Control,Contro,Contro3_000u_exp220322_run060522_27,4,000u,2022-03-22,2022-05-06,0
exp220322,Controls,Control,Control,Contro,Contro4_000u_exp220322_run060522_28,4,000u,2022-03-22,2022-05-06,0
exp130921,Controls,Control,Control,Contro,Contro1_000u_exp130921_run101121_20,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro2_000u_exp130921_run101121_21,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro3_000u_exp130921_run101121_22,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro4_000u_exp130921_run101121_23,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro5_000u_exp130921_run101121_24,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro6_000u_exp130921_run101121_25,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro7_000u_exp130921_run101121_26,8,000u,2021-09-13,2021-11-10,0
exp130921,Controls,Control,Control,Contro,Contro8_000u_exp130921_run101121_27,8,000u,2021-09-13,2021-11-10,0
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer1_020n_exp200921_run101121_03,4,020n,2021-09-20,2021-11-10,2e-8
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer2_020n_exp200921_run101121_04,4,020n,2021-09-20,2021-11-10,2e-8
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer3_020n_exp200921_run101121_05,4,020n,2021-09-20,2021-11-10,2e-8
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer4_020n_exp200921_run101121_06,4,020n,2021-09-20,2021-11-10,2e-8
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer1_001u_exp200921_run101121_11,4,001u,2021-09-20,2021-11-10,1e-6
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer2_001u_exp200921_run101121_12,4,001u,2021-09-20,2021-11-10,1e-6
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer3_001u_exp200921_run101121_13,4,001u,2021-09-20,2021-11-10,1e-6
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer4_001u_exp200921_run101121_14,4,001u,2021-09-20,2021-11-10,1e-6
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer1_005u_exp200921_run101121_15,4,005u,2021-09-20,2021-11-10,4.9999999999999996e-6
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer2_005u_exp200921_run101121_16,4,005u,2021-09-20,2021-11-10,4.9999999999999996e-6
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer3_005u_exp200921_run101121_17,4,005u,2021-09-20,2021-11-10,4.9999999999999996e-6
exp200921,EGFR,3rd generation EGFR-TKIs,Osimertinb,Osimer,Osimer4_005u_exp200921_run101121_18,4,005u,2021-09-20,2021-11-10,4.9999999999999996e-6
exp271221,EGFR,3rd generation EGFR-TKIs,WZ4002,WZ4002,WZ40021_001u_exp271221_run140122_01,4,001u,2021-12-27,2022-01-14,1e-6
exp271221,EGFR,3rd generation EGFR-TKIs,WZ4002,WZ4002,WZ40022_001u_exp271221_run140122_02,4,001u,2021-12-27,2022-01-14,1e-6
exp271221,EGFR,3rd generation EGFR-TKIs,WZ4002,WZ4002,WZ40023_001u_exp271221_run140122_03,4,001u,2021-12-27,2022-01-14,1e-6
exp271221,EGFR,3rd generation EGFR-TKIs,WZ4002,WZ4002,WZ40024_001u_exp271221_run140122_04,4,001u,2021-12-27,2022-01-14,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Lazertinib,Lazert,Lazert1_001u_exp070222_run010322_33,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Lazertinib,Lazert,Lazert2_001u_exp070222_run010322_34,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Lazertinib,Lazert,Lazert3_001u_exp070222_run010322_35,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Lazertinib,Lazert,Lazert4_001u_exp070222_run010322_36,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Rociletinib,Rocile,Rocile1_001u_exp070222_run010322_37,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Rociletinib,Rocile,Rocile2_001u_exp070222_run010322_38,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Rociletinib,Rocile,Rocile3_001u_exp070222_run010322_39,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Rociletinib,Rocile,Rocile4_001u_exp070222_run010322_40,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Mavelertinib,Mavele,Mavele1_001u_exp070222_run010322_41,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Mavelertinib,Mavele,Mavele2_001u_exp070222_run010322_42,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Mavelertinib,Mavele,Mavele3_001u_exp070222_run010322_43,4,001u,2022-02-07,2022-03-01,1e-6
exp070222,EGFR,3rd generation EGFR-TKIs,Mavelertinib,Mavele,Mavele4_001u_exp070222_run010322_44,4,001u,2022-02-07,2022-03-01,1e-6
exp300821,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti1_002u_exp300821_run290921_13,4,002u,2021-08-30,2021-09-29,2e-6
exp300821,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti2_002u_exp300821_run290921_14,4,002u,2021-08-30,2021-09-29,2e-6
exp300821,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti3_002u_exp300821_run290921_15,4,002u,2021-08-30,2021-09-29,2e-6
exp300821,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti4_002u_exp300821_run290921_16,4,002u,2021-08-30,2021-09-29,2e-6
exp151121,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti1_002u_exp151121_run071221_13,4,002u,2021-11-15,2021-12-07,2e-6
exp151121,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti2_002u_exp151121_run071221_14,4,002u,2021-11-15,2021-12-07,2e-6
exp151121,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti3_002u_exp151121_run071221_15,4,002u,2021-11-15,2021-12-07,2e-6
exp151121,EGFR,1st generation EGFR-TKIs,Gefitinib,Gefiti,Gefiti4_002u_exp151121_run071221_16,4,002u,2021-11-15,2021-12-07,2e-6
exp151121,EGFR,PROTAC conjugated,Gefitinib-PROTAC-1,PROTAC,PROTAC1_010u_exp151121_run071221_17,4,010u,2021-11-15,2021-12-07,9.999999999999999e-6
exp151121,EGFR,PROTAC conjugated,Gefitinib-PROTAC-1,PROTAC,PROTAC2_010u_exp151121_run071221_18,4,010u,2021-11-15,2021-12-07,9.999999999999999e-6
exp151121,EGFR,PROTAC conjugated,Gefitinib-PROTAC-1,PROTAC,PROTAC3_010u_exp151121_run071221_19,4,010u,2021-11-15,2021-12-07,9.999999999999999e-6
exp151121,EGFR,PROTAC conjugated,Gefitinib-PROTAC-1,PROTAC,PROTAC4_010u_exp151121_run071221_20,4,010u,2021-11-15,2021-12-07,9.999999999999999e-6
exp271221,KRAS,PROTAC conjugated,y-27632 dihydrochloride,Sotora,Sotora1_035u_exp271221_run140122_05,4,035u,2021-12-27,2022-01-14,3.5e-5
exp271221,KRAS,PROTAC conjugated,y-27632 dihydrochloride,Sotora,Sotora2_035u_exp271221_run140122_06,4,035u,2021-12-27,2022-01-14,3.5e-5
exp271221,KRAS,PROTAC conjugated,y-27632 dihydrochloride,Sotora,Sotora3_035u_exp271221_run140122_07,4,035u,2021-12-27,2022-01-14,3.5e-5
exp271221,KRAS,PROTAC conjugated,y-27632 dihydrochloride,Sotora,Sotora4_035u_exp271221_run140122_08,4,035u,2021-12-27,2022-01-14,3.5e-5
exp300821,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1961_001u_exp300821_run290921_25,4,001u,2021-08-30,2021-09-29,1e-6
exp300821,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1962_001u_exp300821_run290921_26,4,001u,2021-08-30,2021-09-29,1e-6
exp300821,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1963_001u_exp300821_run290921_27,4,001u,2021-08-30,2021-09-29,1e-6
exp300821,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1964_001u_exp300821_run290921_28,4,001u,2021-08-30,2021-09-29,1e-6
exp151121,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1961_001u_exp151121_run071221_25,4,001u,2021-11-15,2021-12-07,1e-6
exp151121,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1962_001u_exp151121_run071221_26,4,001u,2021-11-15,2021-12-07,1e-6
exp151121,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1963_001u_exp151121_run071221_27,4,001u,2021-11-15,2021-12-07,1e-6
exp151121,RAF,PROTAC conjugated,CCT196969,CCT196,CCT1964_001u_exp151121_run071221_28,4,001u,2021-11-15,2021-12-07,1e-6
exp130921,RAF,PROTAC conjugated,LY3009120,LY3009,LY30091_003u_exp130921_run290921_36,4,003u,2021-09-13,2021-09-29,3e-6
exp130921,RAF,PROTAC conjugated,LY3009120,LY3009,LY30092_003u_exp130921_run290921_37,4,003u,2021-09-13,2021-09-29,3e-6
exp130921,RAF,PROTAC conjugated,LY3009120,LY3009,LY30093_003u_exp130921_run290921_38,4,003u,2021-09-13,2021-09-29,3e-6
exp130921,RAF,PROTAC conjugated,LY3009120,LY3009,LY30094_003u_exp130921_run290921_39,4,003u,2021-09-13,2021-09-29,3e-6
exp151121,RAF,PROTAC conjugated,LY3009120,LY3009,LY30091_003u_exp151121_run071221_29,4,003u,2021-11-15,2021-12-07,3e-6
exp151121,RAF,PROTAC conjugated,LY3009120,LY3009,LY30092_003u_exp151121_run071221_30,4,003u,2021-11-15,2021-12-07,3e-6
exp151121,RAF,PROTAC conjugated,LY3009120,LY3009,LY30093_003u_exp151121_run071221_31,4,003u,2021-11-15,2021-12-07,3e-6
exp151121,RAF,PROTAC conjugated,LY3009120,LY3009,LY30094_003u_exp151121_run071221_32,4,003u,2021-11-15,2021-12-07,3e-6
exp151121,RAF,PROTAC conjugated,RAF265,RAF265,RAF2651_005u_exp151121_run071221_21,4,005u,2021-11-15,2021-12-07,4.9999999999999996e-6
exp151121,RAF,PROTAC conjugated,RAF265,RAF265,RAF2652_005u_exp151121_run071221_22,4,005u,2021-11-15,2021-12-07,4.9999999999999996e-6
exp151121,RAF,PROTAC conjugated,RAF265,RAF265,RAF2653_005u_exp151121_run071221_23,4,005u,2021-11-15,2021-12-07,4.9999999999999996e-6
exp151121,RAF,PROTAC conjugated,RAF265,RAF265,RAF2654_005u_exp151121_run071221_24,4,005u,2021-11-15,2021-12-07,4.9999999999999996e-6
exp070222,RAF,PROTAC conjugated,Vemurafenib,Vemura,Vemura1_007u_exp070222_run060522_01,4,007u,2022-02-07,2022-05-06,7e-6
exp070222,RAF,PROTAC conjugated,Vemurafenib,Vemura,Vemura2_007u_exp070222_run060522_02,4,007u,2022-02-07,2022-05-06,7e-6
exp070222,RAF,PROTAC conjugated,Vemurafenib,Vemura,Vemura3_007u_exp070222_run060522_03,4,007u,2022-02-07,2022-05-06,7e-6
exp070222,RAF,PROTAC conjugated,Vemurafenib,Vemura,Vemura4_007u_exp070222_run060522_04,4,007u,2022-02-07,2022-05-06,7e-6
exp010821,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet1_030n_exp010821_run180821_11,4,030n,2021-08-01,2021-08-18,3.0000000000000004e-8
exp010821,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet2_030n_exp010821_run180821_12,4,030n,2021-08-01,2021-08-18,3.0000000000000004e-8
exp010821,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet3_030n_exp010821_run180821_13,4,030n,2021-08-01,2021-08-18,3.0000000000000004e-8
exp010821,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet4_030n_exp010821_run180821_14,4,030n,2021-08-01,2021-08-18,3.0000000000000004e-8
exp040821,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet1_030n_exp040821_run180821_33,4,030n,2021-08-04,2021-08-18,3.0000000000000004e-8
exp040821,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet2_030n_exp040821_run180821_34,4,030n,2021-08-04,2021-08-18,3.0000000000000004e-8
exp040821,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet3_030n_exp040821_run180821_35,4,030n,2021-08-04,2021-08-18,3.0000000000000004e-8
exp040821,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet4_030n_exp040821_run180821_36,4,030n,2021-08-04,2021-08-18,3.0000000000000004e-8
exp151121,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet1_040n_exp151121_run071221_05,4,040n,2021-11-15,2021-12-07,4e-8
exp151121,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet2_040n_exp151121_run071221_06,4,040n,2021-11-15,2021-12-07,4e-8
exp151121,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet3_040n_exp151121_run071221_07,4,040n,2021-11-15,2021-12-07,4e-8
exp151121,MEK,PROTAC conjugated,Trametinib,Tramet,Tramet4_040n_exp151121_run071221_08,4,040n,2021-11-15,2021-12-07,4e-8
exp151121,MEK,PROTAC conjugated,U0126-EtOH,U0126E,U0126E1_030u_exp151121_run071221_09,4,030u,2021-11-15,2021-12-07,2.9999999999999997e-5
exp151121,MEK,PROTAC conjugated,U0126-EtOH,U0126E,U0126E2_030u_exp151121_run071221_10,4,030u,2021-11-15,2021-12-07,2.9999999999999997e-5
exp151121,MEK,PROTAC conjugated,U0126-EtOH,U0126E,U0126E3_030u_exp151121_run071221_11,4,030u,2021-11-15,2021-12-07,2.9999999999999997e-5
exp151121,MEK,PROTAC conjugated,U0126-EtOH,U0126E,U0126E4_030u_exp151121_run071221_12,4,030u,2021-11-15,2021-12-07,2.9999999999999997e-5
exp271221,ALK,ALK and c-Met,Crizotinib,Crizot,Crizot1_002u_exp271221_run140122_13,4,002u,2021-12-27,2022-01-14,2e-6
exp271221,ALK,ALK and c-Met,Crizotinib,Crizot,Crizot2_002u_exp271221_run140122_14,4,002u,2021-12-27,2022-01-14,2e-6
exp271221,ALK,ALK and c-Met,Crizotinib,Crizot,Crizot3_002u_exp271221_run140122_15,4,002u,2021-12-27,2022-01-14,2e-6
exp271221,ALK,ALK and c-Met,Crizotinib,Crizot,Crizot4_002u_exp271221_run140122_16,4,002u,2021-12-27,2022-01-14,2e-6
exp271221,ALK,ALK,TAE684 (NVP-TAE684),TAE684,TAE6841_001u_exp271221_run140122_17,4,001u,2021-12-27,2022-01-14,1e-6
exp271221,ALK,ALK,TAE684 (NVP-TAE684),TAE684,TAE6842_001u_exp271221_run140122_18,4,001u,2021-12-27,2022-01-14,1e-6
exp271221,ALK,ALK,TAE684 (NVP-TAE684),TAE684,TAE6843_001u_exp271221_run140122_19,4,001u,2021-12-27,2022-01-14,1e-6
exp271221,ALK,ALK,TAE684 (NVP-TAE684),TAE684,TAE6844_001u_exp271221_run140122_20,4,001u,2021-12-27,2022-01-14,1e-6
exp271221,FGFR,ALK,Infigratinib (BGJ398),BGJ398,BGJ3981_007u_exp271221_run140122_09,4,007u,2021-12-27,2022-01-14,7e-6
exp271221,FGFR,ALK,Infigratinib (BGJ398),BGJ398,BGJ3982_007u_exp271221_run140122_10,4,007u,2021-12-27,2022-01-14,7e-6
exp271221,FGFR,ALK,Infigratinib (BGJ398),BGJ398,BGJ3983_007u_exp271221_run140122_11,4,007u,2021-12-27,2022-01-14,7e-6
exp271221,FGFR,ALK,Infigratinib (BGJ398),BGJ398,BGJ3984_007u_exp271221_run140122_12,4,007u,2021-12-27,2022-01-14,7e-6
exp010821,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr1_100n_exp010821_run180821_15,4,100n,2021-08-01,2021-08-18,1.0000000000000001e-7
exp010821,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr2_100n_exp010821_run180821_16,4,100n,2021-08-01,2021-08-18,1.0000000000000001e-7
exp010821,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr3_100n_exp010821_run180821_17,4,100n,2021-08-01,2021-08-18,1.0000000000000001e-7
exp010821,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr4_100n_exp010821_run180821_18,4,100n,2021-08-01,2021-08-18,1.0000000000000001e-7
exp040821,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr1_100n_exp040821_run180821_37,4,100n,2021-08-04,2021-08-18,1.0000000000000001e-7
exp040821,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr2_100n_exp040821_run180821_38,4,100n,2021-08-04,2021-08-18,1.0000000000000001e-7
exp040821,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr3_100n_exp040821_run180821_39,4,100n,2021-08-04,2021-08-18,1.0000000000000001e-7
exp040821,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr4_100n_exp040821_run180821_40,4,100n,2021-08-04,2021-08-18,1.0000000000000001e-7
exp181021,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr1_080n_exp181021_run251121_01,4,080n,2021-10-18,2021-11-25,8e-8
exp181021,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr2_080n_exp181021_run251121_02,4,080n,2021-10-18,2021-11-25,8e-8
exp181021,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr3_080n_exp181021_run251121_03,4,080n,2021-10-18,2021-11-25,8e-8
exp181021,Chemotherapy,antifolate,Pemetrexed,Pemetr,Pemetr4_080n_exp181021_run251121_04,4,080n,2021-10-18,2021-11-25,8e-8
exp220322,Chemotherapy,antifolate,Methotrexate,Methot,Methot1_040n_exp220322_run060522_33,4,040n,2022-03-22,2022-05-06,4e-8
exp220322,Chemotherapy,antifolate,Methotrexate,Methot,Methot2_040n_exp220322_run060522_34,4,040n,2022-03-22,2022-05-06,4e-8
exp220322,Chemotherapy,antifolate,Methotrexate,Methot,Methot3_040n_exp220322_run060522_35,4,040n,2022-03-22,2022-05-06,4e-8
exp220322,Chemotherapy,antifolate,Methotrexate,Methot,Methot4_040n_exp220322_run060522_36,4,040n,2022-03-22,2022-05-06,4e-8
exp220322,Chemotherapy,antifolate,Pralatrexate,Pralat,Pralat1_003n_exp220322_run060522_29,4,003n,2022-03-22,2022-05-06,3.0000000000000004e-9
exp220322,Chemotherapy,antifolate,Pralatrexate,Pralat,Pralat2_003n_exp220322_run060522_30,4,003n,2022-03-22,2022-05-06,3.0000000000000004e-9
exp220322,Chemotherapy,antifolate,Pralatrexate,Pralat,Pralat3_003n_exp220322_run060522_31,4,003n,2022-03-22,2022-05-06,3.0000000000000004e-9
exp220322,Chemotherapy,antifolate,Pralatrexate,Pralat,Pralat4_003n_exp220322_run060522_32,4,003n,2022-03-22,2022-05-06,3.0000000000000004e-9
exp300821,Chemotherapy,platinum,Cisplatin,Cispla,Cispla1_250n_exp300821_run290921_17,4,250n,2021-08-30,2021-09-29,2.5000000000000004e-7
exp300821,Chemotherapy,platinum,Cisplatin,Cispla,Cispla2_250n_exp300821_run290921_18,4,250n,2021-08-30,2021-09-29,2.5000000000000004e-7
exp300821,Chemotherapy,platinum,Cisplatin,Cispla,Cispla3_250n_exp300821_run290921_19,4,250n,2021-08-30,2021-09-29,2.5000000000000004e-7
exp300821,Chemotherapy,platinum,Cisplatin,Cispla,Cispla4_250n_exp300821_run290921_20,4,250n,2021-08-30,2021-09-29,2.5000000000000004e-7
